year,state,quarter,suppression,totalRX
2015,CO,1,F,22095
2015,CO,1,T,0
2015,CO,2,F,22459
2015,CO,2,T,0
2015,CO,3,F,21585
2015,CO,3,T,0
2015,CO,4,F,25104
2015,CO,4,T,0
2015,FL,1,F,114345
2015,FL,1,T,0
2015,FL,2,F,117405
2015,FL,2,T,0
2015,FL,3,F,110916
2015,FL,3,T,0
2015,FL,4,F,120802
2015,FL,4,T,0
2015,MS,1,F,37112
2015,MS,1,T,0
2015,MS,2,F,33673
2015,MS,2,T,0
2015,MS,3,F,34751
2015,MS,3,T,0
2015,MS,4,F,37685
2015,MS,4,T,0
2015,SC,1,F,43999
2015,SC,1,T,0
2015,SC,2,F,43831
2015,SC,2,T,0
2015,SC,3,F,41426
2015,SC,3,T,0
2015,SC,4,F,37882
2015,SC,4,T,0
2015,TN,1,F,65797
2015,TN,1,T,0
2015,TN,2,F,67094
2015,TN,2,T,0
2015,TN,3,F,58467
2015,TN,3,T,0
2015,TN,4,F,64481
2015,TN,4,T,0
2016,CO,1,F,25445
2016,CO,1,T,0
2016,CO,2,F,26336
2016,CO,2,T,0
2016,CO,3,F,26067
2016,CO,3,T,0
2016,CO,4,F,28766
2016,CO,4,T,0
2016,FL,1,F,117481
2016,FL,1,T,0
2016,FL,2,F,129104
2016,FL,2,T,0
2016,FL,3,F,111550
2016,FL,3,T,0
2016,FL,4,F,133809
2016,FL,4,T,0
2016,MS,1,F,38742
2016,MS,1,T,0
2016,MS,2,F,36820
2016,MS,2,T,0
2016,MS,3,F,36755
2016,MS,3,T,0
2016,MS,4,F,44498
2016,MS,4,T,0
2016,SC,1,F,40426
2016,SC,1,T,0
2016,SC,2,F,36862
2016,SC,2,T,0
2016,SC,3,F,36564
2016,SC,3,T,0
2016,SC,4,F,40883
2016,SC,4,T,0
2016,TN,1,F,63865
2016,TN,1,T,0
2016,TN,2,F,62784
2016,TN,2,T,0
2016,TN,3,F,64276
2016,TN,3,T,0
2016,TN,4,F,64219
2016,TN,4,T,0
2017,CO,1,F,28284
2017,CO,1,T,0
2017,CO,2,F,30850
2017,CO,2,T,0
2017,CO,3,F,30737
2017,CO,3,T,0
2017,CO,4,F,29457
2017,CO,4,T,0
2017,FL,1,F,120578
2017,FL,1,T,0
2017,FL,2,F,139756
2017,FL,2,T,0
2017,FL,3,F,111479
2017,FL,3,T,0
2017,FL,4,F,123968
2017,FL,4,T,0
2017,MS,1,F,39215
2017,MS,1,T,0
2017,MS,2,F,35769
2017,MS,2,T,0
2017,MS,3,F,35929
2017,MS,3,T,0
2017,MS,4,F,39394
2017,MS,4,T,0
2017,SC,1,F,46897
2017,SC,1,T,0
2017,SC,2,F,46586
2017,SC,2,T,0
2017,SC,3,F,49531
2017,SC,3,T,0
2017,SC,4,F,56611
2017,SC,4,T,0
2017,TN,1,F,61809
2017,TN,1,T,0
2017,TN,2,F,58087
2017,TN,2,T,0
2017,TN,3,F,56165
2017,TN,3,T,0
2017,TN,4,F,61567
2017,TN,4,T,0
2018,CO,1,F,27539
2018,CO,1,T,0
2018,CO,2,F,28793
2018,CO,2,T,0
2018,CO,3,F,26867
2018,CO,3,T,0
2018,CO,4,F,28418
2018,CO,4,T,0
2018,FL,1,F,127851
2018,FL,1,T,0
2018,FL,2,F,121560
2018,FL,2,T,0
2018,FL,3,F,117891
2018,FL,3,T,0
2018,FL,4,F,131092
2018,FL,4,T,0
2018,MS,1,F,41270
2018,MS,1,T,0
2018,MS,2,F,36322
2018,MS,2,T,0
2018,MS,3,F,36402
2018,MS,3,T,0
2018,MS,4,F,38341
2018,MS,4,T,0
2018,SC,1,F,54194
2018,SC,1,T,0
2018,SC,2,F,51922
2018,SC,2,T,0
2018,SC,3,F,50638
2018,SC,3,T,0
2018,SC,4,F,57345
2018,SC,4,T,0
2018,TN,1,F,59515
2018,TN,1,T,0
2018,TN,2,F,57167
2018,TN,2,T,0
2018,TN,3,F,53794
2018,TN,3,T,0
2018,TN,4,F,59054
2018,TN,4,T,0
2019,CO,1,F,25665
2019,CO,1,T,0
2019,CO,2,F,28005
2019,CO,2,T,0
2019,CO,3,F,29538
2019,CO,3,T,0
2019,CO,4,F,27784
2019,CO,4,T,0
2019,FL,1,F,132128
2019,FL,1,T,0
2019,FL,2,F,120102
2019,FL,2,T,0
2019,FL,3,F,110896
2019,FL,3,T,0
2019,FL,4,F,112964
2019,FL,4,T,0
2019,MS,1,F,39087
2019,MS,1,T,0
2019,MS,2,F,34828
2019,MS,2,T,0
2019,MS,3,F,36532
2019,MS,3,T,0
2019,MS,4,F,37972
2019,MS,4,T,0
2019,SC,1,F,60141
2019,SC,1,T,0
2019,SC,2,F,55704
2019,SC,2,T,0
2019,SC,3,F,50953
2019,SC,3,T,0
2019,SC,4,F,57425
2019,SC,4,T,0
2019,TN,1,F,58919
2019,TN,1,T,0
2019,TN,2,F,52587
2019,TN,2,T,0
2019,TN,3,F,49254
2019,TN,3,T,0
2019,TN,4,F,52317
2019,TN,4,T,0
2020,CO,1,F,29274
2020,CO,1,T,0
2020,CO,2,F,22199
2020,CO,2,T,0
2020,CO,3,F,22012
2020,CO,3,T,0
2020,CO,4,F,28975
2020,CO,4,T,0
2020,FL,1,F,112878
2020,FL,1,T,0
2020,FL,2,F,91211
2020,FL,2,T,0
2020,FL,3,F,90926
2020,FL,3,T,0
2020,FL,4,F,103366
2020,FL,4,T,0
2020,MS,1,F,37268
2020,MS,1,T,0
2020,MS,2,F,27773
2020,MS,2,T,0
2020,MS,3,F,30085
2020,MS,3,T,0
2020,MS,4,F,31460
2020,MS,4,T,0
2020,SC,1,F,57314
2020,SC,1,T,0
2020,SC,2,F,44648
2020,SC,2,T,0
2020,SC,3,F,32711
2020,SC,3,T,0
2020,SC,4,F,21779
2020,SC,4,T,0
2020,TN,1,F,51645
2020,TN,1,T,0
2020,TN,2,F,43167
2020,TN,2,T,0
2020,TN,3,F,43092
2020,TN,3,T,0
2020,TN,4,F,46845
2020,TN,4,T,0
