year,gennme,state,quarter,suppression,totalRX
2015,Amphetamine Salt Combination,CO,1,F,14103
2015,Amphetamine Salt Combination,CO,1,T,0
2015,Dextroamphetamine Sulfate,CO,1,F,367
2015,Dextroamphetamine Sulfate,CO,1,T,0
2015,Lisdexamfetamine Dimesylate,CO,1,F,7608
2015,Methamphetamine Hydrochloride,CO,1,F,17
2015,Amphetamine Salt Combination,CO,2,F,14433
2015,Amphetamine Salt Combination,CO,2,T,0
2015,Dextroamphetamine Sulfate,CO,2,F,347
2015,Dextroamphetamine Sulfate,CO,2,T,0
2015,Lisdexamfetamine Dimesylate,CO,2,F,7665
2015,Methamphetamine Hydrochloride,CO,2,F,14
2015,Amphetamine Salt Combination,CO,3,F,14078
2015,Amphetamine Salt Combination,CO,3,T,0
2015,Dextroamphetamine Sulfate,CO,3,F,313
2015,Dextroamphetamine Sulfate,CO,3,T,0
2015,Lisdexamfetamine Dimesylate,CO,3,F,7194
2015,Methamphetamine Hydrochloride,CO,3,T,0
2015,Amphetamine Salt Combination,CO,4,F,16038
2015,Amphetamine Salt Combination,CO,4,T,0
2015,Dextroamphetamine Sulfate,CO,4,F,400
2015,Dextroamphetamine Sulfate,CO,4,T,0
2015,Lisdexamfetamine Dimesylate,CO,4,F,8666
2015,Methamphetamine Hydrochloride,CO,4,T,0
2015,Amphetamine Salt Combination,FL,1,F,55535
2015,Amphetamine Salt Combination,FL,1,T,0
2015,Dextroamphetamine Sulfate,FL,1,F,897
2015,Dextroamphetamine Sulfate,FL,1,T,0
2015,Lisdexamfetamine Dimesylate,FL,1,F,57913
2015,Amphetamine Salt Combination,FL,2,F,55954
2015,Amphetamine Salt Combination,FL,2,T,0
2015,Dextroamphetamine Sulfate,FL,2,F,880
2015,Dextroamphetamine Sulfate,FL,2,T,0
2015,Lisdexamfetamine Dimesylate,FL,2,F,60571
2015,Methamphetamine Hydrochloride,FL,2,T,0
2015,Amphetamine Salt Combination,FL,3,F,53588
2015,Amphetamine Salt Combination,FL,3,T,0
2015,Dextroamphetamine Sulfate,FL,3,F,793
2015,Dextroamphetamine Sulfate,FL,3,T,0
2015,Lisdexamfetamine Dimesylate,FL,3,F,56535
2015,Amphetamine Salt Combination,FL,4,F,54795
2015,Amphetamine Salt Combination,FL,4,T,0
2015,Dextroamphetamine Sulfate,FL,4,F,802
2015,Dextroamphetamine Sulfate,FL,4,T,0
2015,Lisdexamfetamine Dimesylate,FL,4,F,65205
2015,Amphetamine Salt Combination,MS,1,F,14001
2015,Amphetamine Salt Combination,MS,1,T,0
2015,Dextroamphetamine Sulfate,MS,1,F,623
2015,Dextroamphetamine Sulfate,MS,1,T,0
2015,Lisdexamfetamine Dimesylate,MS,1,F,22488
2015,Lisdexamfetamine Dimesylate,MS,1,T,0
2015,Methamphetamine Hydrochloride,MS,1,T,0
2015,Amphetamine Salt Combination,MS,2,F,12719
2015,Amphetamine Salt Combination,MS,2,T,0
2015,Dextroamphetamine Sulfate,MS,2,F,560
2015,Dextroamphetamine Sulfate,MS,2,T,0
2015,Lisdexamfetamine Dimesylate,MS,2,F,20394
2015,Methamphetamine Hydrochloride,MS,2,T,0
2015,Amphetamine Salt Combination,MS,3,F,12922
2015,Amphetamine Salt Combination,MS,3,T,0
2015,Dextroamphetamine Sulfate,MS,3,F,610
2015,Dextroamphetamine Sulfate,MS,3,T,0
2015,Lisdexamfetamine Dimesylate,MS,3,F,21219
2015,Methamphetamine Hydrochloride,MS,3,T,0
2015,Amphetamine Salt Combination,MS,4,F,13638
2015,Amphetamine Salt Combination,MS,4,T,0
2015,Dextroamphetamine Sulfate,MS,4,F,810
2015,Dextroamphetamine Sulfate,MS,4,T,0
2015,Lisdexamfetamine Dimesylate,MS,4,F,23237
2015,Methamphetamine Hydrochloride,MS,4,T,0
2015,Amphetamine Salt Combination,SC,1,F,22266
2015,Amphetamine Salt Combination,SC,1,T,0
2015,Dextroamphetamine Sulfate,SC,1,F,425
2015,Dextroamphetamine Sulfate,SC,1,T,0
2015,Lisdexamfetamine Dimesylate,SC,1,F,21308
2015,Lisdexamfetamine Dimesylate,SC,1,T,0
2015,Amphetamine Salt Combination,SC,2,F,21654
2015,Amphetamine Salt Combination,SC,2,T,0
2015,Dextroamphetamine Sulfate,SC,2,F,294
2015,Dextroamphetamine Sulfate,SC,2,T,0
2015,Lisdexamfetamine Dimesylate,SC,2,F,21883
2015,Amphetamine Salt Combination,SC,3,F,20775
2015,Amphetamine Salt Combination,SC,3,T,0
2015,Dextroamphetamine Sulfate,SC,3,F,353
2015,Dextroamphetamine Sulfate,SC,3,T,0
2015,Lisdexamfetamine Dimesylate,SC,3,F,20298
2015,Amphetamine Salt Combination,SC,4,F,19273
2015,Amphetamine Salt Combination,SC,4,T,0
2015,Dextroamphetamine Sulfate,SC,4,F,491
2015,Dextroamphetamine Sulfate,SC,4,T,0
2015,Lisdexamfetamine Dimesylate,SC,4,F,18118
2015,Amphetamine Salt Combination,TN,1,F,33495
2015,Amphetamine Salt Combination,TN,1,T,0
2015,Dextroamphetamine Sulfate,TN,1,F,859
2015,Dextroamphetamine Sulfate,TN,1,T,0
2015,Lisdexamfetamine Dimesylate,TN,1,F,31443
2015,Methamphetamine Hydrochloride,TN,1,T,0
2015,Amphetamine Salt Combination,TN,2,F,34023
2015,Amphetamine Salt Combination,TN,2,T,0
2015,Dextroamphetamine Sulfate,TN,2,F,816
2015,Dextroamphetamine Sulfate,TN,2,T,0
2015,Lisdexamfetamine Dimesylate,TN,2,F,32255
2015,Methamphetamine Hydrochloride,TN,2,T,0
2015,Amphetamine Salt Combination,TN,3,F,28918
2015,Amphetamine Salt Combination,TN,3,T,0
2015,Dextroamphetamine Sulfate,TN,3,F,780
2015,Dextroamphetamine Sulfate,TN,3,T,0
2015,Lisdexamfetamine Dimesylate,TN,3,F,28769
2015,Methamphetamine Hydrochloride,TN,3,T,0
2015,Amphetamine Salt Combination,TN,4,F,30188
2015,Amphetamine Salt Combination,TN,4,T,0
2015,Dextroamphetamine Sulfate,TN,4,F,806
2015,Dextroamphetamine Sulfate,TN,4,T,0
2015,Lisdexamfetamine Dimesylate,TN,4,F,33487
2015,Methamphetamine Hydrochloride,TN,4,T,0
2016,Amphetamine Salt Combination,CO,1,F,16421
2016,Amphetamine Salt Combination,CO,1,T,0
2016,Dextroamphetamine Sulfate,CO,1,F,331
2016,Dextroamphetamine Sulfate,CO,1,T,0
2016,Lisdexamfetamine Dimesylate,CO,1,F,8693
2016,Lisdexamfetamine Dimesylate,CO,1,T,0
2016,Methamphetamine Hydrochloride,CO,1,T,0
2016,Amphetamine,CO,2,T,0
2016,Amphetamine Salt Combination,CO,2,F,17256
2016,Amphetamine Salt Combination,CO,2,T,0
2016,Dextroamphetamine Sulfate,CO,2,F,313
2016,Dextroamphetamine Sulfate,CO,2,T,0
2016,Lisdexamfetamine Dimesylate,CO,2,F,8767
2016,Lisdexamfetamine Dimesylate,CO,2,T,0
2016,Methamphetamine Hydrochloride,CO,2,T,0
2016,Amphetamine,CO,3,T,0
