year,gennme,prodnme,state,quarter,suppression,totalRX
2015,Amphetamine Salt Combination,ADDERALL,CO,1,F,354
2015,Amphetamine Salt Combination,ADDERALL,CO,1,T,0
2015,Amphetamine Salt Combination,ADDERALL XR,CO,1,F,8535
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,1,F,5164
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,1,T,0
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,1,F,50
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,1,T,0
2015,Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,CO,1,T,0
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,1,F,367
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,1,T,0
2015,Lisdexamfetamine Dimesylate,VYVANSE,CO,1,F,7608
2015,Methamphetamine Hydrochloride,METHAMPHETAMINE HCL,CO,1,F,17
2015,Amphetamine Salt Combination,ADDERALL,CO,2,F,286
2015,Amphetamine Salt Combination,ADDERALL XR,CO,2,F,8733
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,2,F,5414
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,2,T,0
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,2,T,0
2015,Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,CO,2,T,0
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,2,F,347
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,2,T,0
2015,Dextroamphetamine Sulfate,ZENZEDI,CO,2,T,0
2015,Lisdexamfetamine Dimesylate,VYVANSE,CO,2,F,7665
2015,Methamphetamine Hydrochloride,METHAMPHETAMINE HCL,CO,2,F,14
2015,Amphetamine Salt Combination,ADDERALL,CO,3,F,205
2015,Amphetamine Salt Combination,ADDERALL,CO,3,T,0
2015,Amphetamine Salt Combination,ADDERALL XR,CO,3,F,8255
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,3,F,5556
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,3,T,0
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,3,F,62
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,3,T,0
2015,Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,CO,3,T,0
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,3,F,313
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,3,T,0
2015,Dextroamphetamine Sulfate,ZENZEDI,CO,3,T,0
2015,Lisdexamfetamine Dimesylate,VYVANSE,CO,3,F,7194
2015,Methamphetamine Hydrochloride,METHAMPHETAMINE HCL,CO,3,T,0
2015,Amphetamine Salt Combination,ADDERALL,CO,4,F,212
2015,Amphetamine Salt Combination,ADDERALL XR,CO,4,F,9550
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,4,F,6237
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,CO,4,T,0
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,4,F,39
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,CO,4,T,0
2015,Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,CO,4,T,0
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,4,F,400
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,CO,4,T,0
2015,Lisdexamfetamine Dimesylate,VYVANSE,CO,4,F,8666
2015,Methamphetamine Hydrochloride,METHAMPHETAMINE HCL,CO,4,T,0
2015,Amphetamine Salt Combination,ADDERALL,FL,1,F,14
2015,Amphetamine Salt Combination,ADDERALL,FL,1,T,0
2015,Amphetamine Salt Combination,ADDERALL XR,FL,1,F,34767
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,FL,1,F,20197
2015,Amphetamine Salt Combination,AMPHETAMINE SALT COMBO,FL,1,T,0
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,FL,1,F,557
2015,Amphetamine Salt Combination,MIXED AMPHETAMINE SALTS,FL,1,T,0
2015,Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,FL,1,T,0
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,FL,1,F,897
2015,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,FL,1,T,0
2015,Dextroamphetamine Sulfate,PROCENTRA,FL,1,T,0
