year,state,quarter,totalRXImputed
2015,CO,1,22255
2015,CO,2,22649
2015,CO,3,21765
2015,CO,4,25264
2015,FL,1,114645
2015,FL,2,117865
2015,FL,3,111316
2015,FL,4,121192
2015,MS,1,37452
2015,MS,2,34033
2015,MS,3,35131
2015,MS,4,38065
2015,SC,1,44399
2015,SC,2,44341
2015,SC,3,41846
2015,SC,4,38232
2015,TN,1,65937
2015,TN,2,67324
2015,TN,3,58677
2015,TN,4,64671
2016,CO,1,25865
2016,CO,2,26826
2016,CO,3,26597
2016,CO,4,29436
2016,FL,1,117861
2016,FL,2,129514
2016,FL,3,112070
2016,FL,4,134409
2016,MS,1,39102
2016,MS,2,37280
2016,MS,3,37235
2016,MS,4,44988
2016,SC,1,40896
2016,SC,2,37352
2016,SC,3,37094
2016,SC,4,41443
2016,TN,1,64015
2016,TN,2,63004
2016,TN,3,64566
2016,TN,4,64479
2017,CO,1,28994
2017,CO,2,31620
2017,CO,3,31387
2017,CO,4,30027
2017,FL,1,121258
2017,FL,2,140396
2017,FL,3,112159
2017,FL,4,124678
2017,MS,1,39615
2017,MS,2,36219
2017,MS,3,36449
2017,MS,4,39834
2017,SC,1,47557
2017,SC,2,47286
2017,SC,3,50261
2017,SC,4,57401
2017,TN,1,62119
2017,TN,2,58427
2017,TN,3,56475
2017,TN,4,61827
2018,CO,1,28189
2018,CO,2,29393
2018,CO,3,27477
2018,CO,4,29008
2018,FL,1,128531
2018,FL,2,122170
2018,FL,3,118601
2018,FL,4,131792
2018,MS,1,41760
2018,MS,2,36862
2018,MS,3,36822
2018,MS,4,38901
2018,SC,1,54944
2018,SC,2,52692
2018,SC,3,51278
2018,SC,4,58105
2018,TN,1,59735
2018,TN,2,57407
2018,TN,3,54024
2018,TN,4,59274
2019,CO,1,26385
2019,CO,2,28745
2019,CO,3,30278
2019,CO,4,28534
2019,FL,1,132888
2019,FL,2,120792
2019,FL,3,111606
2019,FL,4,113664
2019,MS,1,39737
2019,MS,2,35508
2019,MS,3,37222
2019,MS,4,38672
2019,SC,1,60971
2019,SC,2,56514
2019,SC,3,51773
2019,SC,4,58205
2019,TN,1,59199
2019,TN,2,52797
2019,TN,3,49554
2019,TN,4,52627
2020,CO,1,30034
2020,CO,2,22959
2020,CO,3,22722
2020,CO,4,29805
2020,FL,1,113668
2020,FL,2,92031
2020,FL,3,91756
2020,FL,4,104246
2020,MS,1,38028
2020,MS,2,28533
2020,MS,3,30815
2020,MS,4,32160
2020,SC,1,58184
2020,SC,2,45518
2020,SC,3,33601
2020,SC,4,22609
2020,TN,1,52005
2020,TN,2,43507
2020,TN,3,43462
2020,TN,4,47145
