year,gennme,state,quarter,totalRXImputed
2015,Amphetamine Salt Combination,CO,1,14103
2015,Dextroamphetamine Sulfate,CO,1,367
2015,Lisdexamfetamine Dimesylate,CO,1,7608
2015,Methamphetamine Hydrochloride,CO,1,17
2015,Amphetamine Salt Combination,CO,2,14433
2015,Dextroamphetamine Sulfate,CO,2,347
2015,Lisdexamfetamine Dimesylate,CO,2,7665
2015,Methamphetamine Hydrochloride,CO,2,14
2015,Amphetamine Salt Combination,CO,3,14078
2015,Dextroamphetamine Sulfate,CO,3,313
2015,Lisdexamfetamine Dimesylate,CO,3,7194
2015,Methamphetamine Hydrochloride,CO,3,0
2015,Amphetamine Salt Combination,CO,4,16038
2015,Dextroamphetamine Sulfate,CO,4,400
2015,Lisdexamfetamine Dimesylate,CO,4,8666
2015,Methamphetamine Hydrochloride,CO,4,0
2015,Amphetamine Salt Combination,FL,1,55535
2015,Dextroamphetamine Sulfate,FL,1,897
2015,Lisdexamfetamine Dimesylate,FL,1,57913
2015,Amphetamine Salt Combination,FL,2,55954
2015,Dextroamphetamine Sulfate,FL,2,880
2015,Lisdexamfetamine Dimesylate,FL,2,60571
2015,Methamphetamine Hydrochloride,FL,2,0
2015,Amphetamine Salt Combination,FL,3,53588
2015,Dextroamphetamine Sulfate,FL,3,793
2015,Lisdexamfetamine Dimesylate,FL,3,56535
2015,Amphetamine Salt Combination,FL,4,54795
2015,Dextroamphetamine Sulfate,FL,4,802
2015,Lisdexamfetamine Dimesylate,FL,4,65205
2015,Amphetamine Salt Combination,MS,1,14001
2015,Dextroamphetamine Sulfate,MS,1,623
2015,Lisdexamfetamine Dimesylate,MS,1,22488
2015,Methamphetamine Hydrochloride,MS,1,0
2015,Amphetamine Salt Combination,MS,2,12719
2015,Dextroamphetamine Sulfate,MS,2,560
2015,Lisdexamfetamine Dimesylate,MS,2,20394
2015,Methamphetamine Hydrochloride,MS,2,0
2015,Amphetamine Salt Combination,MS,3,12922
2015,Dextroamphetamine Sulfate,MS,3,610
2015,Lisdexamfetamine Dimesylate,MS,3,21219
2015,Methamphetamine Hydrochloride,MS,3,0
2015,Amphetamine Salt Combination,MS,4,13638
2015,Dextroamphetamine Sulfate,MS,4,810
2015,Lisdexamfetamine Dimesylate,MS,4,23237
2015,Methamphetamine Hydrochloride,MS,4,0
2015,Amphetamine Salt Combination,SC,1,22266
2015,Dextroamphetamine Sulfate,SC,1,425
2015,Lisdexamfetamine Dimesylate,SC,1,21308
2015,Amphetamine Salt Combination,SC,2,21654
2015,Dextroamphetamine Sulfate,SC,2,294
2015,Lisdexamfetamine Dimesylate,SC,2,21883
2015,Amphetamine Salt Combination,SC,3,20775
2015,Dextroamphetamine Sulfate,SC,3,353
2015,Lisdexamfetamine Dimesylate,SC,3,20298
2015,Amphetamine Salt Combination,SC,4,19273
2015,Dextroamphetamine Sulfate,SC,4,491
2015,Lisdexamfetamine Dimesylate,SC,4,18118
2015,Amphetamine Salt Combination,TN,1,33495
2015,Dextroamphetamine Sulfate,TN,1,859
2015,Lisdexamfetamine Dimesylate,TN,1,31443
2015,Methamphetamine Hydrochloride,TN,1,0
2015,Amphetamine Salt Combination,TN,2,34023
2015,Dextroamphetamine Sulfate,TN,2,816
2015,Lisdexamfetamine Dimesylate,TN,2,32255
2015,Methamphetamine Hydrochloride,TN,2,0
2015,Amphetamine Salt Combination,TN,3,28918
2015,Dextroamphetamine Sulfate,TN,3,780
2015,Lisdexamfetamine Dimesylate,TN,3,28769
2015,Methamphetamine Hydrochloride,TN,3,0
2015,Amphetamine Salt Combination,TN,4,30188
2015,Dextroamphetamine Sulfate,TN,4,806
2015,Lisdexamfetamine Dimesylate,TN,4,33487
2015,Methamphetamine Hydrochloride,TN,4,0
2016,Amphetamine Salt Combination,CO,1,16421
2016,Dextroamphetamine Sulfate,CO,1,331
2016,Lisdexamfetamine Dimesylate,CO,1,8693
2016,Methamphetamine Hydrochloride,CO,1,0
2016,Amphetamine,CO,2,0
2016,Amphetamine Salt Combination,CO,2,17256
2016,Dextroamphetamine Sulfate,CO,2,313
